ալ	3081
է	1897
մեկ	914
ինչ	894
ասաց	764
իդա	747
էր	744
որ	650
ես	632
ադ	610
պիտ	518
և	476
մեր	463
նը	454
շտե	423
կը	372
չէ	364
մեչը	354
բան	344
հատ	335
վրան	309
համար	296
ադպես	295
ին	285
սա	269
կասե	265
ան	263
համա	260
էղավ	254
տունը	251
ինձի	249
հետ	244
կենե	233
մեմը	230
ըռինդ	223
պան	221
խաթի	218
ինչես	217
պետք	215
իմ	213
աս	211
դըհա	211
նարա	209
սաղ	201
մաշդը	199
մեծ	194
էղած	192
նա	186
մաշդ	183
քեզի	181
հանա	177
ասի	177
էյ	173
դուն	171
չի	164
քանի	162
ինքն	162
իրեն	160
էին	160
մեմ	160
դա	159
հայդը	154
էլլավ	153
էկավ	153
չիմ	152
ախռ	152
տղան	151
հիչ	151
ու	150
էրկու	147
բանը	146
պես	144
թող	142
արավ	138
մինք	136
ժամանակ	135
նես	133
օր	131
դհա	130
անելու	130
խիստ	128
տեղ	127
ըլա	126
օրը	124
տեղը	124
բաշլայից	124
մասին	124
չիտիմ	123
կա	122
չէր	121
կըլա	118
շինըխ	115
ձո	115
մաշդուն	114
դեյին	114
շինը	114
չին	112
մեքատ	111
էկած	110
ժեք	110
իրենց	109
ադիվոր	108
չիքա	108
հա	107
բիդ	106
յոնոմիշ	105
ալղը	103
յալ	102
տուն	101
շատ	101
ուրիշ	101
արած	100
գենե	100
կընայիս	98
իմիս	98
ինա	98
ով	97
քովը	95
ինչի	95
ամեն	93
զայեր	93
թ	92
կայնած	90
նացա	90
պանը	88
տղին	88
էտեվ	88
մի	87
նոմայ	86
քիչ	86
էի	86
կասիմ	85
հարցուց	85
էղածը	84
աղան	83
հաբա	81
կամ	80
տուվից	79
կնիկը	79
դեպի	78
մեկը	78
մեն	78
կանե	78
վերչը	77
առավ	77
ասպես	76
կասին	76
ասին	76
մեչ	75
ալայ	74
անկից	72
նոր	71
միտք	70
ինքը	70
իդապես	70
նայե	69
իս	68
գնաց	68
անգամ	68
մեձա	68
մեմեծկի	67
նստած	67
մեկալ	67
ջորով	66
անցավ	66
տեղեն	66
էղիլ	66
վրա	65
բաբին	65
որը	65
հադ	65
բաշլայեցին	64
տըղան	63
խայրով	63
վրայեն	63
կանին	62
նորեն	62
էկան	62
աղային	62
արին	61
արա	61
անել	61
դեյեն	61
աղա	60
ժամանակը	60
նաքա	59
մեզի	59
մինչև	59
չենե	59
էլ	59
հարցուցի	59
ադիվուկը	58
երբ	58
տունին	58
տակը	58
անունը	58
կելլե	58
քուքա	57
բայց	57
տեսոք	57
աշտըխ	56
գալաջի	56
ըլալու	56
դուս	56
բաներ	56
վար	56
անպես	55
էտև	55
անիմ	55
համան	54
մաշդու	54
որին	54
վերչացավ	54
հանից	53
ասա	53
ախչիկանը	53
յաշ	52
գլոխը	52
այդ	52
մեգ	52
գեղի	51
ընկավ	51
ման	51
արինք	51
հոն	51
կնայիս	51
ավելի	51
վըրան	51
մութ	50
տալու	50
մաշդիք	50
տա	50
միշտ	49
չորս	49
մաշինը	49
գոյա	49
այս	49
հարսնիք	49
չիս	49
առաչվան	49
էղա	48
ասած	48
անքան	48
մը	48
արի	48
ասլան	48
են	47
էլլած	47
պատիվ	47
փոքր	47
պատմելու	47
կնկանը	47
անելեն	47
էինք	47
էլլա	46
կընաց	46
կընայիմ	46
մեչեն	46
նայինք	46
օշտախ	46
թագավորին	46
տարի	45
կան	45
բանին	45
էկիլ	45
մեչն	44
թոփ	43
սաշինը	43
ջուր	43
այն	43
կեշտա	43
էլլան	43
ըլար	43
էրկան	43
որպեսզի	43
ասօր	42
թոփտի	42
քեֆ	42
ձեր	42
շիտակ	42
արիլ	42
բռնած	42
սյա	42
ձիյին	42
ա	42
մեքադ	42
սաբախտան	41
ձեզի	41
քենը	41
բաբիյին	41
ախպար	41
էդև	41
սուրեն	41
թիլքին	41
առի	41
առանց	40
վայ	40
ասելու	40
ախչիկը	40
մեմա	40
մտիկ	39
գեղին	39
ինչքան	39
տղա	39
մեմալում	39
ռաստ	39
տակեն	39
ուտելու	39
կասիս	39
էհ	39
էղան	39
ինքըս	39
թեմիզ	39
չեշիտ	39
լա	39
տարա	38
հաց	38
պարև	38
յա	38
մնա	38
չիլա	38
ձիյը	38
էշտամ	37
տարին	37
մետոմ	37
ասիլ	37
էղըլ	37
կինմաշդ	37
կախած	37
կեշթա	37
էլլանք	36
նայեցավ	36
գնացի	36
սուս	36
չինք	36
№	36
անինք	35
դուռը	35
ասիմ	35
քշերը	35
մաշդոցը	35
վեր	35
էկեր	35
օվանես	35
տարիներուն	35
շուտ	34
էրիկ-կնիկ	34
անցած	34
կարող	34
կլա	34
հազիր	34
ասիս	34
կաներ	34
ինք	34
թոռերը	34
ազբարը	33
սիրտը	33
գա	33
եմ	33
թե	33
դիժար	33
օրմը	33
քիչիմ	33
աստված	33
ինքերն	33
մեծան	33
իհարկե	33
տղաս	33
շինխ	33
մտավ	32
մաշին	32
վրայի	32
փեռատ	32
կանոխ	32
սեմթը	32
կար	32
կըլան	32
խոշտ	32
գործի	32
ձեռքը	32
էկա	32
մոտիկ	32
թոփտիի	31
կասեր	31
մեջ	31
էնկի	31
հայրեն	31
կըլար	31
մնաց	31
բերին	31
վտեխ	31
վրայով	31
չունե	31
տուռը	31
մարը	31
չունիմ	31
եփոր	31
հալխը	31
ալայը	31
մեկեր	31
կանչից	31
տարվան	31
խունդում	31
գնացինք	31
թագավորը	31
շունը	31
հոս	30
էշտալ	30
առած	30
պաներ	30
դուք	30
էղըլե	30
օգութ	30
պատմությունը	30
կառնե	30
կինմաշդը	30
կուզիմ	30
մեչի	30
դուռին	30
իդաքան	30
դիմացը	30
ապրանք	30
յաշերուն	30
ադոր	30
օսկի	30
էշթալ	30
մարտիրոս	30
մանուկին	30
գնացին	29
հին	29
լեզուն	29
տուված	29
հաքա	29
հորը	29
մեկտեղ	29
վազ	29
կանիմ	29
անցնելեն	29
ադտեղը	29
հոքան	29
ձան	29
քալու	29
կուտա	29
մանյել	29
պատմե	29
աչքը	29
ադքան	29
պատմիմ	29
առչի	29
կնայիմ	29
բես	29
վոր	29
արեք	28
խամութ	28
միայն	28
տղոցը	28
կամացով	28
հետը	28
չիտե	28
կընայե	28
ասենը	28
էրեսը	28
եգոռիչը	28
էրկանը	28
ծեր	28
հաձո	28
գնացիլ	28
շիշա	28
դրից	28
հարը	28
կոլխոզի	28
վաղը	28
գնա	28
միշա	28
վրաները	27
մնացած	27
գործ	27
սուտ	27
մեկին	27
անքենը	27
էշտալու	27
անցիլ	27
ինքս	27
ժամանակին	27
տուվի	27
հոժար	27
առին	27
մեռավ	27
օշտախիս	27
քոշան	27
բանի	27
հոտ	27
առչինը	27
մինչեվ	27
բանելու	27
բարեվ	27
քաղաք	26
մաշտ	26
միտքեն	26
կընացին	26
քուկուդ	26
մաշդիքը	26
հապա	26
իրկվան	26
գալաջիյի	26
ստոլին	26
չախ	26
էկանք	26
ջուրը	26
տուր	26
ախչիկ	26
վարի	26
օղլուն	26
էգավ	26
շուշանիգ	26
էտևեն	25
հնարը	25
բարև	25
հարսնիքին	25
չեղավ	25
էշտանք	25
կիդիս	25
մըտավ	25
կային	25
մեմեկ	25
պատմից	25
աչքերը	25
կոխած	25
կուզե	25
ստակ	25
խոզի	25
իդավոր	25
բաները	25
էղանք	25
մամաս	25
դուսը	25
աղպար	25
արաձ	25
չիքար	24
մեկն	24
խունդումով	24
մաշդիկ	24
նստավ	24
տաք	24
պանին	24
վըտեխեն	24
մաշինին	24
կուզիս	24
առչով	24
գործը	24
կելլին	24
մանեթ	24
հոքի	24
գնացած	24
ամառվան	24
քուքան	24
կայնեցավ	24
ուներ	24
առնելու	24
վրաս	24
անունով	24
ջամփան	24
օրենքի	24
լուկան	24
կուգա	24
երկու	23
մենք	23
սիրած	23
կանիս	23
հետո	23
շեն	23
վաշդան	23
էնջամըս	23
ըլալ	23
չեր	23
բեքիմը	23
անե	23
քախցած	23
տեսնել	23
հավերուն	23
կասեյին	23
գալաջիներ	23
կոյա	23
օրինավոր	23
ապրանքը	23
մայրենի	23
էրկուսում	23
ուժով	23
թորոսը	23
մորը	23
չորվախը	23
շուշա	23
որոնք	22
վերի	22
նրանց	22
տարիներ	22
ադիվոնք	22
հատը	22
տարուքով	22
նայալ	22
կընացի	22
միտքըս	22
տալ	22
առաչ	22
վայնայեն	22
էշթանք	22
բաշլայեցի	22
վտեխեն	22
5	22
երեխան	22
նըստած	22
հոքիս	22
գասե	22
չիկա	22
ռախի	22
մաշտը	22
մաշդիքներ	22
էշթամ	22
կասէ	22
ծարը	21
ուզաց	21
եվ	21
կիդիմ	21
խոմ	21
մեզ	21
իր	21
առ	21
ջուրին	21
ղունկին	21
տունն	21
ալային	21
անի	21
հայա	21
քշեր	21
կինմաշդուն	21
երեխա	21
չե	21
վարպետ	21
առնել	21
տուվին	21
մանուկը	21
հաքած	21
էտեվեն	21
էշթալու	21
աշտխ	21
դասնէրգու	21
գը	21
կանինք	20
դպրոց	20
քու	20
տուները	20
ահա	20
դու	20
խոսք	20
տարեկան	20
ժամանակըմ	20
պատմել	20
օրվան	20
մաշինով	20
ուշ	20
ակոբ	20
մամա	20
կանցնե	20
վերչացուց	20
անքամ	20
հալխին	20
հինգ	20
կըկանչե	20
դացա	20
ապուլ	20
սիբես	20
գրել	20
դրած	20
փայ	20
տարավ	20
չունինք	20
բալաս	20
մտանք	20
հայնագ	20
մէկ	20
էգած	19
անքովեն	19
հասավ	19
հասան	19
ռուսերեն	19
օրմ	19
ոտքի	19
խնդացին	19
կարճ	19
ասել	19
կառնուն	19
պառկած	19
սեմթեն	19
օրին	19
գորա	19
հաձե	19
ժամանակները	19
ունիմ	19
հեքիմ	19
վերչն	19
էրիկը	19
բարեկամիս	19
կըհարցունե	19
իսկենը	19
ասինք	19
ձեռքերը	19
գրած	19
իդավուկը	19
անքով	19
խմելու	19
տանել	19
քիչիմը	19
նաև	19
գեվորգ	19
սոլ	19
հեռու	19
հայ	19
բանն	19
էշտա	19
էգեր	19
էկար	19
հարց	19
բետկ	19
խոսքերը	18
կեշտան	18
անցան	18
հեմը	18
աղեկ	18
վերցավ	18
իլինք	18
քո	18
նայելու	18
վերջապես	18
խելքին	18
ցավոք	18
սալթենը	18
կնիկն	18
առատուն	18
ղունկի	18
կըբաշլայե	18
ըլանը	18
շախա	18
իք	18
կասենը	18
դեմը	18
կասեին	18
նայիմ	18
պաները	18
բոյը	18
էրես	18
իմիսն	18
հետերը	18
մեծաս	18
մեկալը	18
կովին	18
գըլա	18
աբինը	18
կեշթան	18
մոտիկի	18
դավուլ	18
փիթ	18
…	18
ճանփան	17
յառեն	17
բաց	17
խելք	17
կանեյին	17
շաբաթ	17
չալող	17
կընա	17
տուվիլ	17
չուվալը	17
աշխարք	17
մաշդիկներ	17
էլլել	17
ալայն	17
քեները	17
նիստ	17
տեղն	17
մըտիկ	17
տըղաս	17
յաշերը	17
հեքիմին	17
նայելեն	17
ձիյ	17
էլլելու	17
գործին	17
ալայով	17
ընկած	17
օշտախըս	17
տեկ	17
անին	17
տեղերեն	17
1	17
բաբի	17
մախտար	17
գինի	17
կտռիճ	17
հարցունում	17
բերից	17
մեմն	17
չալելու	17
ախըռ	17
օշթախ	17
քովի	17
նայիս	17
կեշթար	17
զարյա	17
գլա	17
ենք	16
կողի	16
միասին	16
նստան	16
հինութվան	16
գեղը	16
պատիվով	16
փաթլամիշ	16
կյանքը	16
նրա	16
ոչ	16
կնիկ	16
հարսին	16
կեկ	16
շախաջի	16
տեսա	16
անդի	16
պատմածը	16
սելդին	16
տըղին	16
չանելե	16
նայել	16
ցավը	16
ասածը	16
շախաներ	16
կընացինք	16
թեմիզը	16
սրտի	16
սրա	16
կովերուն	16
կլուբին	16
հարսը	16
մամայիս	16
ասվատուր	16
պատահիլ	16
ադեթ	16
իդաքենը	16
լուս	16
հավես	16
առչովը	16
տեր	16
հորաքույրս	16
խոշոր	16
ալուր	16
ապրած	16
տեսած	16
հարսնիքը	16
ապրելու	16
ջանըմ	16
գասին	16
թաքուշը	16
գասիմ	16
հեքիմի	16
մեք	16
կորա	15
խոսքերով	15
հավեսով	15
քաղաքի	15
տեղերը	15
թոփտին	15
գյուղի	15
միտքը	15
ադիվոնց	15
մտա	15
ինձ	15
մարդկանց	15
խնամի	15
ադպեսով	15
անոր	15
էղածին	15
կայիս	15
խամչին	15
հիվանդ	15
խոսքեն	15
ձիք	15
պերին	15
ինչով	15
կընային	15
մոտկըցա	15
հանեցին	15
ձեռքեն	15
սաբռ	15
բաշլայեցինք	15
սալթեն	15
սեմթի	15
տունի	15
իմացա	15
պանի	15
թվին	15
իսկ	15
շատը	15
պիլետին	15
չուվալ	15
էրկաթե	15
ջուրի	15
ռայոնի	15
որն	15
տեսավ	15
անիս	15
կնայե	15
ասքան	15
տամ	15
խաչերես	15
հարս	15
կարապետը	15
էրկվատ	15
ունիս	15
չիդիմ	15
էրգու	15
քուն	15
աղչիկ	15
եսա	15
կինմաշդոցը	15
մինչեվի	15
կլար	15
էղաձ	15
հեդ	15
ջուֆտ	15
կուտան	14
ոտքը	14
տըրած	14
էկիր	14
խատմիշ	14
կերած	14
ընկիլ	14
լսիմ	14
սերով	14
սըհաթը	14
կառվատին	14
ադեն	14
նստա	14
քովեն	14
հացի	14
չելլի	14
կըյնե	14
գլոխըս	14
կալաջի	14
ջեբեն	14
առինք	14
քենըս	14
հասսանք	14
կարապետ	14
թաբլած	14
ասեք	14
եփ	14
շարած	14
ջեմ	14
ողորմե	14
շարքը	14
չալողներուն	14
ջոկ	14
բերիլ	14
կնիկըս	14
բարաբ	14
խնդալեն	14
գնում	14
երկար	14
